"^gspc.low","^gspc.high","^gspc.close"
4328.080078125,4362.06005859375,4328.81982421875
4335,4384.419921875,4378.41015625
4360.22021484375,4390.35009765625,4376.85986328125
4371.97021484375,4398.39013671875,4396.43994140625
4422.43994140625,4458.47998046875,4450.3798828125
4442.2900390625,4456.4599609375,4455.58984375
4436.60986328125,4454.06005859375,4446.81982421875
4385.0498046875,4422.6201171875,4411.58984375
4397.39990234375,4440.39013671875,4398.9501953125
4389.919921875,4412.60009765625,4409.52978515625
4408.4599609375,4443.64013671875,4439.259765625
4463.22998046875,4488.33984375,4472.16015625
4489.35986328125,4517.3798828125,4510.0400390625
4499.56005859375,4527.759765625,4505.419921875
4504.89990234375,4532.85009765625,4522.7900390625
4514.58984375,4562.2998046875,4554.97998046875
4557.47998046875,4578.43017578125,4565.72021484375
4527.56005859375,4564.740234375,4534.8701171875
